,productId,productNumber,status,productUpdateDate,owningOrganisationId,owningOrganisationNumber,owningOrganisationName,productName,productDescription,productCategoryId,productImage,boundary,addresses,score,productPixelURL,category,product_types,nextOccurrence
0,646e039b707f3f5d8dc04135,SY0001529,ACTIVE,Tue Sep 05 2023 08:35:38 GMT+0400 (+04),646e023971381b5dfe2f8c4b,OR0001166,Agnes Cottage ,Agnes' Cottage,"Agnes Cottage is a four room self-catering guesthouse and is situated 5 mins away from the famous Anse Source D'Argent beach. It is a family business managed by Agnes and her partner. Each cottage is equipped with its own unique style. The place has a very tranquil and peaceful atmosphere away from the busy roads, which makes it a perfect place for people looking to get away from their hectic lives. They offer Creole cuisine which can be requested upon arrival and other services such as bicycle rental, daily island excursions, hiking, etc...",ACCOMM,"https://assets.parrapi.com/images/4a03901af2348c3d1ba1a41e4150ff22.jpeg?rect=0,0,4032,3024&w=280&h=210&rot=360","-4.358515943212131,55.82777738571167","[{'address_type': 'PHYSICAL', 'address_line': '', 'address_line2': 'Agnes Cottage ', 'islandType': 'Inner', 'island': 'La Digue', 'islandArea': 'Anse Reunion', 'city': 'La Digue', 'state': 'La Digue', 'postcode': '', 'country': 'Seychelles'}]",1.0,https://api.parrapi.com/pixel?productId=646e039b707f3f5d8dc04135&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API,ACCOMM,GUESTHOUSE,
1,6391928beba0a554eb9c33ae,SY0001346,ACTIVE,Thu Jul 27 2023 11:05:02 GMT+0400 (+04),62f0d8c9e69fb30bfe522ca6,OR0000921,bernique guesthouse,Bernique Guesthouse,"Bernique Guesthouse is a typical guesthouse located in a quiet area, between ocean and forest. Easy to reach by walk or by bike. About 5mn by bike from the ocean and from La Passe village.
2 Supermarkets : 30m and 50m from us
You will appreciate the large size of our 5 rooms, the quality of the beds, the rich breakfasts served on our large outdoor dinning area, the cleanless and the warm welcome of Sylvania.",ACCOMM,"https://assets.parrapi.com/images/3af617168f6990d1845e2b5a98706b62.jpeg?rect=340,0,2048,1536&w=280&h=210&rot=360","-4.353033296282159,55.835416316986084","[{'address_type': 'PHYSICAL', 'address_line': '', 'address_line2': '', 'islandType': 'Inner', 'island': 'La Digue', 'islandArea': 'La Passe', 'city': 'La Digue', 'state': 'La Digue', 'postcode': '', 'country': 'Seychelles'}]",1.0,https://api.parrapi.com/pixel?productId=6391928beba0a554eb9c33ae&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API,ACCOMM,GUESTHOUSE,
2,64c240629e34767b09754079,SY0001825,ACTIVE,Thu Aug 03 2023 08:38:52 GMT+0400 (+04),645ba4c9f08cd63e7b30d47e,OR0001130,BERYL GUEST HOUSE,Beryl Guesthouse,"Beryl Guest is located on one the of the most dream island for many visitors.
Walking distance from the peer lies a small homely three bed room Tourist establishment
Beryl , herself , offer cosy Room With Breakfast.
Daily excursion may organize on location either by Bicycle or By Boat.",ACCOMM,"https://assets.parrapi.com/images/d4043b80ff9af22d136a769d28885ef2.jpeg?rect=0,0,3264,2448&w=280&h=210&rot=360","-4.3478359,55.83289869999999","[{'address_type': 'PHYSICAL', 'address_line': '', 'address_line2': '', 'islandType': 'Inner', 'island': 'La Digue', 'islandArea': 'La Passe', 'city': '', 'state': '', 'postcode': '', 'country': 'Seychelles'}]",1.0,https://api.parrapi.com/pixel?productId=64c240629e34767b09754079&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API,ACCOMM,GUESTHOUSE,
3,64590443835745117d373e68,SY0001483,ACTIVE,Wed May 10 2023 11:12:26 GMT+0400 (+04),627689731df4c236452f0d3b,OR0000651,Blu Vista Villa,Blu Vista Villa,"Escape to the stunning Blu Vista Villa, located at North East Point-Mahe, and experience a tranquil retreat perfect for families, couples, and friends. Enjoy breathtaking sea views from the comfort of the villa's three luxurious ensuite bedrooms, including a master suite with a walk-in wardrobe and private terrace. Relax in the spacious sitting room or host family dinners in the open dining room area. Need to catch up on some work? The villa also features a study, perfect for those who need to stay connected during their stay. The villa boasts a private pool overlooking the ocean.

Travelling with little ones? The villa can provide cots for children and high chairs for your convenience. And for those who want to truly immerse themselves in the local culture, catering and cleaning services can be arranged upon request, allowing you to indulge in delicious Seychellois cuisine without having to lift a finger.

Enjoy privacy and convenience just 5 minutes from the sea. Only 15 minutes from Beau Vallon and 20 minutes from the airport. Ask us for recommendations!

Book your stay at Blu Vista Villa now and experience the perfect blend of luxury and relaxation.",ACCOMM,"https://assets.parrapi.com/images/6a24737e56d359c9865ad2365e34ba42.jpeg?rect=108,0,2667,2000&w=280&h=210&rot=360","-4.6006955,55.4588325","[{'address_type': 'PHYSICAL', 'address_line': 'North Coast Road', 'address_line2': '', 'islandType': 'Inner', 'island': 'Mahe', 'islandArea': 'Glacis', 'city': '', 'state': '', 'postcode': '', 'country': 'Seychelles'}]",1.0,https://api.parrapi.com/pixel?productId=64590443835745117d373e68&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API,ACCOMM,GUESTHOUSE,
4,649d5188df16585a0b724514,SY0001679,ACTIVE,Thu Jun 29 2023 14:10:06 GMT+0400 (+04),649933f2f08cd63e7b30d696,OR0001197,BUISSON GUEST HOUSE,Buisson Guest House,"If you're looking for a cozy and relaxing place to stay on La Digue Island, you might want to check out Buisson Guest House. It's just a 3-minute walk from the Jetty, so you can easily explore the island by bike at your own leisure. The guest house is surrounded by lush greenery, giving you a sense of nature and tranquility. You'll also enjoy the dining area, where you can savor delicious local dishes and chat with other guests. Buisson Guest House is more than just a place to sleep, it's a home away from home.",ACCOMM,"https://assets.parrapi.com/images/75e739510c5efdaacb5301e8416dd882.jpeg?rect=0,0,4624,3468&w=280&h=210&rot=360","-4.3478359,55.83289869999999","[{'address_type': 'PHYSICAL', 'address_line': 'LA PASSE', 'address_line2': 'GUEST-HOUSE ', 'islandType': 'Inner', 'island': 'La Digue', 'islandArea': 'La Passe', 'city': '', 'state': '', 'postcode': '', 'country': 'Seychelles'}]",1.0,https://api.parrapi.com/pixel?productId=649d5188df16585a0b724514&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API,ACCOMM,GUESTHOUSE,
5,64ddccc98be3980135e34df5,SY0001862,ACTIVE,Mon Aug 21 2023 09:04:23 GMT+0400 (+04),64b252a4f08cd63e7b30dab0,OR0001386,Jemmy Ernesta,Bwaver Cottage,"Bwa Ver is a typical Creole style accommodation named after the popular craftsman character ""Olive Niole"". The five bedroom accommodations situated in the authentic village of L'Union, La Digue, bringing you back to the original lifestyle of La Digue island style architecture. The accommodation is a basic guesthouse offering  simple living experiences.
You will enjoy a typical local breakfast under the large veranda, to a beautiful creole meal prepared by your host Madam Lindy Ernesta . From fresh juices, local home made creole jam, to fresh  catch of the day.
If you want to experience the flavour of the bwa Vert , this will be your pick for your holiday.",ACCOMM,"https://assets.parrapi.com/images/c28afdd3407c86331c6d937aa56be494.jpeg?rect=0,875,3000,2250&w=280&h=210&rot=360","-4.361455160397903,55.82985877990723","[{'address_type': 'PHYSICAL', 'address_line': '', 'address_line2': 'Taxi', 'islandType': 'Inner', 'island': 'La Digue', 'islandArea': 'Anse Reunion', 'city': 'La Digue', 'state': 'La Digue', 'postcode': '', 'country': 'Seychelles'}]",1.0,https://api.parrapi.com/pixel?productId=64ddccc98be3980135e34df5&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API,ACCOMM,GUESTHOUSE,
6,6459f9f52fdcb952fdc9bc0b,SY0001493,ACTIVE,Fri Aug 25 2023 16:06:40 GMT+0400 (+04),6458b7fc71381b5dfe2f8b57,OR0001127,Cabanes Des Anges ,Cabanes Des Anges,"Cabanes des Anges provides some of Seychelles warmest hospitality and an unequalled approached to small Guesthouse luxury. 
It stands 10 minutes off the Anse Reunion Beach; and is situated in a peaceful and exotic tropical garden of palm trees and a variety of flowering plants, providing a cool and breezy atmosphere complimenting the natural beauty of the island.
 
Only 15 minutes walk from the port,Cabanes Des Anges offers excellent value for money, with all the facilities you need.",ACCOMM,"https://assets.parrapi.com/images/70e39aa8547724f6bdb134d23c4c03e8.jpeg?rect=0,0,4000,3000&w=280&h=210&rot=360","-4.354274250110094,55.82800269126892","[{'address_type': 'PHYSICAL', 'address_line': '', 'address_line2': 'Apartment ', 'islandType': 'Inner', 'island': 'La Digue', 'islandArea': 'Anse Reunion', 'city': 'La Digue', 'state': 'La Digue', 'postcode': '', 'country': 'Seychelles'}]",1.0,https://api.parrapi.com/pixel?productId=6459f9f52fdcb952fdc9bc0b&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API,ACCOMM,GUESTHOUSE,
7,62b951091aa67d2b831bf678,SY0000950,ACTIVE,Sat Oct 07 2023 15:56:07 GMT+0400 (+04),62b9507339a1d314e419b359,OR0000703,Captain's Villa,Captain's Villa,"Captain’s Villa is in a quiet and safe environment with a homey atmosphere. Enjoy a variety of facilities and services located at and around Captain’s Villa. Make sure to taste our traditional Creole delicious homemade cuisine on request.

This property is 2 minutes walk from the beach. Captain’s Villa is situated just 40 m from Anse Forbans beach on the Southeast coast of Mahe, between Anse Royale and Takamaka. Guests can enjoy snorkelling to discover the rich sea life in the area.
Captain's Villa offers both guesthouse and self-catering accommodation options. 
Grocery stores and restaurants are found within walking distance and more can be can be explored within 6 km from the Villa.
We are located 30 mins drive from the Airport and 15 mins drive to the amazing Intendance beach and the Jardin Du Roi.",ACCOMM,"https://assets.parrapi.com/images/85302ef2ea1321487e5465603e62ba84.jpeg?rect=324,0,4477,3358&w=280&h=210&rot=360","-4.7745815247256775,55.52342981323447","[{'address_type': 'PHYSICAL', 'address_line': '', 'address_line2': '', 'islandType': 'Inner', 'island': 'Mahe', 'islandArea': 'Takamaka', 'city': '', 'state': 'Takamaka', 'postcode': '', 'country': 'Seychelles'}]",1.0,https://api.parrapi.com/pixel?productId=62b951091aa67d2b831bf678&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API,ACCOMM,GUESTHOUSE,
8,649d39e465713c125171871f,SY0001676,ACTIVE,Thu Jun 29 2023 22:48:17 GMT+0400 (+04),649d397c18cbf41b911b4730,OR0001274,Dream holiday Self Catering ,Dream Holiday Self-Catering,"Dream Holiday Self Catering in La Digue is located 5 km from Union Estate Park. Featuring a 24-hour front desk, this property also provides guests with a terrace.

The accommodation offers a shared kitchen and dining area, and can organise tours for guests.

Cycling is among the activities that guests can enjoy near the guest house.

They also offer bicycle rental and free transfer upon arrival at the La Digue jetty.",ACCOMM,"https://assets.parrapi.com/images/e085f737d9276a7ca424b0067cd044ac.jpeg?rect=0,875,3000,2250&w=280&h=210&rot=360","-4.679574,55.491977","[{'address_type': 'PHYSICAL', 'address_line': '', 'address_line2': '3 units ', 'islandType': 'Inner', 'island': 'La Digue', 'islandArea': 'La Passe', 'city': '', 'state': '', 'postcode': '', 'country': 'Seychelles'}]",1.0,https://api.parrapi.com/pixel?productId=649d39e465713c125171871f&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API,ACCOMM,GUESTHOUSE,
9,62396be3eeb81053dff46b5a,SY0000789,ACTIVE,Thu Nov 24 2022 10:47:07 GMT+0400 (+04),636f440516a967390d77d737,OR0001038,Sam's Bar & Restaurant,Eden Studios,"An ideal cozy stop situated on Eden Island, 6km from the nearest international airport, our spacious and modern rooms will provide you with a cozy home away from home feeling boasting a casino, spa, restaurants, terrace and views of the blue sea.  

The guest house will provide guests with air-conditioned rooms with a wardrobe, a coffee machine, a microwave, a fridge, a safety deposit box, a flat-screen TV, a patio and a private bathroom.",ACCOMM,"https://assets.parrapi.com/images/195c30e6e1c9c2a558995ad96e420cff.jpeg?rect=0,0,2048,1536&w=280&h=210&rot=360","-4.679574,55.491977","[{'address_type': 'PHYSICAL', 'address_line': '', 'address_line2': 'Eden House', 'islandType': 'Inner', 'island': 'Mahe', 'islandArea': 'Eden Island', 'city': '', 'state': '', 'postcode': '', 'country': 'Seychelles'}]",1.0,https://api.parrapi.com/pixel?productId=62396be3eeb81053dff46b5a&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API,ACCOMM,GUESTHOUSE,
